match_number,winner,team1,team2,toss_winner,toss_decision,venue,city,team1_win_pct,team2_win_pct,team1_h2h_win_pct,team1_prev_score,team1_prev_wkts,team2_prev_score,team2_prev_wkts,team1_avg_recent_bat_sr,team1_avg_recent_bowl_econ,team2_avg_recent_bat_sr,team2_avg_recent_bowl_econ
1216502,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,Unknown,0.478494623655914,0.5299145299145299,0.5,145,6,114,10,138.35843977318288,7.838231255149684,129.9320993395963,7.438241106719367
1216535,Mumbai Indians,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Dubai International Cricket Stadium,Unknown,0.44565217391304346,0.5897435897435898,0.48,135,9,195,5,129.9320993395963,7.438241106719367,138.35843977318288,7.838231255149684
1216506,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,0.4594594594594595,0.5965909090909091,0.38095238095238093,150,2,150,2,137.21034116924451,8.270766968880176,132.1501122634449,7.620525657071339
1216530,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Dubai International Cricket Stadium,Unknown,0.5187165775401069,0.5096774193548387,0.5789473684210527,149,9,196,2,132.1501122634449,7.620525657071339,137.21034116924451,8.270766968880176
1216505,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Sheikh Zayed Stadium,Abu Dhabi,0.47593582887700536,0.44324324324324327,0.5909090909090909,164,6,131,10,135.11279018834867,7.682193707154157,132.22706112028834,7.6207167146220245
1216495,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,Unknown,0.5918367346938775,0.5338983050847458,0.5,166,5,219,2,132.21275959958166,7.6152846373797765,135.02612671456563,7.687303801883502
1237177,Mumbai Indians,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Dubai International Cricket Stadium,Unknown,0.5888324873096447,0.44623655913978494,0.5384615384615384,111,1,110,9,135.1525719267655,7.719292217831988,132.57022471910113,7.623639191290824
1237178,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sheikh Zayed Stadium,Abu Dhabi,0.4734042553191489,0.5378151260504201,0.4666666666666667,120,7,121,5,132.46741154562383,7.64529464213342,135.2434868003004,7.725396554664847
1237180,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sheikh Zayed Stadium,Abu Dhabi,0.44385026737967914,0.5416666666666666,0.35294117647058826,154,4,151,0,132.88170706442926,7.739829893848486,133.86469253215174,7.6010903280383495
1237181,Mumbai Indians,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium,Unknown,0.44680851063829785,0.5909090909090909,0.4444444444444444,143,8,149,8,130.68764967499143,7.434894815046532,132.906952754281,7.746775777414075
